Date,vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,opengap1,closegap1,highgap1,lowgap1
2015-01-01,-0.63,14.0,0.2,0.4,1.04,7.11,0.0,0.0,0.3,0.5,-0.3
2015-01-02,-8.19,0.0,0.1,0.0,-0.14,-0.17,-37.0,0.1,1.4,1.5,0.1
2015-01-05,2.59,32.0,1.4,1.7,1.36,2.56,3.0,-0.1,-0.4,0.4,-0.6
2015-01-06,23.09,-5.0,-0.4,-0.4,-3.4,0.16,-22.0,-0.0,-3.1,-0.0,-5.0
2015-01-07,4.13,-44.0,-3.1,-3.3,-7.44,9.14,-15.0,-0.1,-0.2,0.3,-0.8
2015-01-08,-9.19,1.0,-0.2,-0.6,-2.31,1.06,11.0,0.8,1.4,1.6,0.6
2015-01-09,-3.14,38.0,1.4,2.0,-4.9,-1.75,-21.0,0.6,0.7,0.9,-0.6
2015-01-12,0.97,-5.0,0.7,-0.4,-3.86,-0.55,9.0,-0.1,0.5,0.6,-0.5
2015-01-13,2.31,-2.0,0.5,1.0,2.59,3.33,8.0,0.3,-0.5,0.3,-1.0
2015-01-14,4.64,-14.0,-0.5,-0.7,2.45,-5.91,-24.0,0.3,-0.1,0.4,-0.9
2015-01-15,-6.31,-2.0,-0.1,-0.4,-2.26,3.95,15.0,2.0,2.5,3.1,1.4
2015-01-16,6.9,38.0,2.5,3.1,17.46,-3.98,-11.0,-0.2,0.2,0.5,-0.5
2015-01-19,2.17,9.0,0.2,0.1,-2.77,0.97,0.0,0.4,0.5,0.6,0.1
2015-01-20,-2.14,8.0,0.5,0.9,-0.0,0.54,2.0,0.2,1.7,1.8,0.2
2015-01-21,2.55,29.0,1.7,1.9,8.27,1.93,-2.0,0.3,0.2,0.5,-0.1
2015-01-22,4.81,2.0,0.2,0.3,2.14,-6.46,-15.0,0.3,0.5,0.6,0.1
2015-01-23,-3.66,9.0,0.5,0.4,2.05,-3.87,10.0,0.8,0.7,1.1,0.4
2015-01-27,1.12,11.0,0.7,0.7,0.44,-3.29,-10.0,0.3,0.9,1.1,-0.1
2015-01-28,9.32,13.0,0.9,2.3,-29.33,5.32,4.0,-0.2,-0.2,0.8,-0.6
2015-01-29,-1.71,-1.0,-0.2,-0.5,-33.36,-20.79,-25.0,0.6,0.9,1.1,0.2
2015-01-30,3.81,14.0,0.9,0.9,21.15,27.35,49.0,0.2,-1.3,0.5,-1.8
2015-02-02,1.15,-23.0,-1.3,-3.3,3.07,5.31,34.0,-0.3,-0.1,0.6,-0.8
2015-02-03,-2.93,-3.0,-0.1,0.3,-2.1,12.55,-1.0,0.4,-0.6,0.6,-0.9
2015-02-04,1.22,-3.0,-0.6,-2.7,1.71,9.71,-10.0,0.4,-0.4,0.5,-0.6
2015-02-05,2.82,-8.0,-0.4,-1.1,-0.45,-1.53,-1.0,-0.1,-0.3,1.3,-0.7
2015-02-06,0.34,-15.0,-0.3,-0.7,-1.77,-7.47,-15.0,-0.2,-0.5,0.1,-0.6
2015-02-09,6.43,-19.0,-0.5,-1.4,0.52,-7.72,14.0,-0.8,-1.7,-0.8,-1.8
2015-02-10,-3.74,-30.0,-1.7,-2.1,-0.64,6.72,-16.0,-0.7,0.6,1.4,-0.8
2015-02-11,-3.26,15.0,0.6,2.0,0.56,-8.25,11.0,0.5,0.7,1.0,-0.0
2015-02-12,-1.68,29.0,0.7,1.0,-0.54,2.55,-4.0,0.6,0.9,1.1,-0.5
2015-02-13,-0.27,16.0,0.9,1.0,2.01,2.68,-3.0,0.4,1.0,1.4,0.1
2015-02-16,3.59,25.0,1.0,1.2,1.98,1.15,-6.0,0.3,0.0,0.7,-0.1
2015-02-18,0.42,-6.0,0.0,-1.0,0.94,0.88,0.0,0.0,0.5,0.9,-0.1
2015-02-19,-2.46,13.0,0.5,0.6,-1.92,-1.69,-16.0,0.1,0.3,0.5,-1.0
2015-02-20,4.27,4.0,0.3,-0.6,-2.65,-0.45,-2.0,-0.1,-0.7,0.0,-1.0
2015-02-23,1.72,-29.0,-0.7,-0.8,-7.78,1.89,-5.0,1.1,-1.1,1.1,-1.3
2015-02-24,-0.38,-26.0,-1.1,-1.0,-27.96,1.14,-20.0,0.1,0.2,0.7,-0.3
2015-02-25,-3.6,8.0,0.2,-0.1,-23.15,-11.34,15.0,0.6,-0.1,0.9,-0.3
2015-02-26,-0.94,-18.0,-0.1,-0.8,-26.32,-12.37,-13.0,0.3,-0.4,0.7,-0.5
2015-02-27,-4.91,-12.0,-0.4,-0.2,21.34,92.15,53.0,0.5,1.8,2.0,0.3
2015-02-28,-13.29,38.0,1.8,2.8,0.87,-2.92,-2.0,0.8,0.8,1.2,-1.1
2015-03-02,-6.61,22.0,0.8,3.3,6.27,1.33,20.0,0.7,0.4,0.8,-0.2
2015-03-03,-2.24,13.0,0.4,1.6,3.4,-1.4,-22.0,-0.0,0.6,0.7,-0.3
2015-03-04,-1.9,14.0,0.6,-0.3,4.63,1.25,16.0,1.0,-1.1,1.5,-1.4
2015-03-05,-5.0,-32.0,-1.1,-1.8,-3.31,10.11,-27.0,0.0,0.4,0.6,-0.8
2015-03-09,9.52,5.0,0.4,0.8,-3.01,4.72,19.0,-1.5,-2.3,-0.6,-2.5
2015-03-10,-1.77,-37.0,-2.3,-3.3,-4.09,-1.15,-25.0,0.0,-0.3,0.3,-0.8
2015-03-11,-2.59,-15.0,-0.3,-0.5,-0.83,-4.11,23.0,-0.0,-0.1,0.6,-0.4
2015-03-12,-2.51,-13.0,-0.1,0.1,0.4,3.96,5.0,0.5,0.7,0.8,0.2
2015-03-13,1.46,19.0,0.7,0.4,0.35,-2.76,-18.0,0.7,-1.6,0.7,-1.8
2015-03-16,1.42,-37.0,-1.6,-2.0,-1.27,13.65,-11.0,-0.1,-0.1,0.2,-0.4
2015-03-17,-0.33,-2.0,-0.1,0.5,1.24,4.64,7.0,0.6,0.9,1.1,-0.2
2015-03-18,2.55,27.0,0.9,0.9,-3.42,-7.5,-19.0,0.4,-0.4,0.4,-0.6
2015-03-19,-2.03,-4.0,-0.4,0.6,-3.08,0.32,3.0,0.7,-0.8,1.3,-1.1
2015-03-20,-6.17,-18.0,-0.8,-2.1,-1.23,5.73,-21.0,-0.1,-0.4,0.1,-0.7
2015-03-23,0.07,-16.0,-0.4,-0.9,-0.88,0.39,35.0,0.2,-0.4,0.3,-0.6
2015-03-24,-4.19,-3.0,-0.4,-1.0,-3.99,-2.15,-20.0,-0.2,0.1,1.0,-0.2
2015-03-25,-3.88,4.0,0.1,-0.6,-23.16,-17.19,20.0,0.1,-0.5,0.2,-0.6
2015-03-26,15.37,-13.0,-0.5,-0.3,-34.74,-13.81,-31.0,0.5,-0.9,0.5,-1.1
2015-03-27,-4.37,-15.0,-0.9,-1.4,50.2,57.32,131.0,0.1,-0.2,0.3,-1.2
2015-03-30,-1.64,-6.0,-0.2,1.2,-2.52,-5.27,-24.0,0.5,1.5,1.6,0.2
2015-03-31,1.61,30.0,1.5,1.4,-5.47,-1.74,-35.0,0.3,-0.3,0.6,-0.7
2015-04-01,-5.71,-5.0,-0.3,-1.2,-3.01,3.81,-25.0,-0.0,1.2,1.3,-0.3
2015-04-06,6.64,25.0,1.2,2.3,-2.78,-11.84,3.0,0.3,0.7,0.7,-0.3
2015-04-07,-2.21,6.0,0.7,-0.3,-1.95,-3.79,-20.0,0.3,0.2,0.5,-0.8
2015-04-08,0.68,5.0,0.2,-0.5,-0.26,1.64,24.0,0.4,0.6,0.8,0.1
2015-04-09,0.49,13.0,0.6,-0.3,3.32,2.65,-4.0,0.4,0.6,0.7,-0.5
2015-04-10,-1.13,7.0,0.6,2.4,-0.5,-5.9,-18.0,-0.1,0.0,0.1,-0.5
2015-04-13,1.63,3.0,0.0,-0.5,0.22,-2.42,-2.0,0.1,0.5,0.7,-0.2
2015-04-15,0.91,9.0,0.5,-0.0,-1.8,5.39,-11.0,-0.1,-0.8,0.2,-1.1
2015-04-16,2.26,-28.0,-0.8,-0.5,3.36,-5.73,17.0,-0.1,-0.7,0.0,-1.3
2015-04-17,0.6,-18.0,-0.7,-0.5,-0.27,1.41,-19.0,-0.2,-1.0,-0.0,-1.1
2015-04-20,8.36,-29.0,-1.0,-1.4,5.85,2.39,16.0,-0.0,-2.0,0.0,-2.2
2015-04-21,4.49,-38.0,-2.0,-1.4,-0.24,11.82,-12.0,-0.4,-0.8,0.4,-1.1
2015-04-22,1.06,-15.0,-0.8,0.1,5.04,-0.29,1.0,0.3,0.7,1.0,-1.2
2015-04-23,7.5,18.0,0.7,0.8,-0.72,-2.65,10.0,0.5,-0.7,0.8,-1.1
2015-04-24,3.27,-10.0,-0.7,-0.2,-4.39,-5.3,-29.0,0.0,-1.0,0.0,-1.5
2015-04-27,-1.94,-24.0,-1.0,-1.3,-4.05,0.8,8.0,0.3,-1.2,0.3,-1.3
2015-04-28,-7.07,-25.0,-1.2,-1.3,-9.72,-9.33,-5.0,-0.2,0.8,1.2,-0.4
2015-04-29,-1.01,13.0,0.8,2.6,-19.82,-22.62,-3.0,-0.8,-0.7,0.3,-0.9
2015-04-30,-0.06,-16.0,-0.7,0.3,-22.11,-16.34,-10.0,0.5,0.1,0.6,-0.5
2015-05-04,0.48,-2.0,0.1,1.0,45.87,60.53,78.0,0.1,1.6,1.7,0.1
2015-05-05,0.33,32.0,1.6,0.6,-3.09,5.47,-28.0,-0.3,-0.1,0.3,-0.8
2015-05-06,13.27,-7.0,-0.1,-0.2,-8.44,5.57,-4.0,-0.2,-2.9,-0.2,-3.0
2015-05-07,-0.1,-43.0,-2.9,-3.9,-2.02,22.26,-13.0,-0.4,-0.5,0.3,-1.2
2015-05-08,-2.75,-7.0,-0.5,-2.3,-7.46,-4.63,0.0,0.8,1.6,2.0,0.7
2015-05-11,-2.54,24.0,1.6,2.3,-8.29,-13.32,-8.0,0.6,1.6,1.8,0.4
2015-05-12,10.31,34.0,1.6,2.2,-2.18,-6.02,-3.0,-0.2,-2.5,-0.1,-2.7
2015-05-13,0.68,-40.0,-2.5,-3.2,3.18,9.3,-15.0,0.6,1.5,1.8,-0.4
2015-05-14,0.07,30.0,1.5,2.8,-1.62,-9.49,14.0,-0.1,-0.2,0.1,-1.3
2015-05-15,-4.28,1.0,-0.2,0.1,1.55,1.77,-2.0,0.2,0.3,0.7,-0.3
2015-05-18,-9.65,5.0,0.3,0.2,-0.51,-4.94,-18.0,0.3,1.4,1.5,0.0
2015-05-19,2.05,35.0,1.4,1.3,-2.75,8.18,0.0,-0.9,-0.1,0.8,-1.3
2015-05-20,-3.02,0.0,-0.1,-0.2,-0.15,-4.82,2.0,0.3,0.7,1.0,0.1
2015-05-21,-1.72,16.0,0.7,0.9,-0.14,5.67,0.0,0.1,-0.1,0.2,-0.5
2015-05-22,-2.67,6.0,-0.1,-0.1,-3.23,-4.03,-3.0,-0.2,0.4,0.8,-0.2
2015-05-25,-0.09,5.0,0.4,-0.7,-2.12,4.35,-6.0,-0.1,-1.0,-0.1,-1.2
2015-05-26,0.8,-20.0,-1.0,-0.5,-7.39,-8.43,6.0,0.0,-0.4,0.0,-0.7
2015-05-27,1.26,-6.0,-0.4,0.0,-9.77,-8.65,0.0,-0.5,-0.1,0.1,-0.8
2015-05-28,-0.87,1.0,-0.1,1.2,-19.99,-12.03,-1.0,0.3,-0.2,0.5,-0.7
2015-05-29,-2.77,-5.0,-0.2,-0.1,27.63,63.22,2.0,0.1,1.7,1.8,-0.1
2015-06-01,1.53,40.0,1.7,1.5,22.18,0.36,31.0,-0.1,-0.3,0.3,-0.4
2015-06-02,-0.55,-2.0,-0.3,-0.7,1.56,7.67,-32.0,0.1,-2.4,0.1,-2.6
2015-06-03,4.07,-44.0,-2.4,-3.8,0.08,25.27,-11.0,-0.3,-1.1,-0.0,-1.5
2015-06-04,3.53,-23.0,-1.1,-1.2,-0.53,2.23,15.0,0.0,0.1,0.3,-1.0
2015-06-05,-0.19,-5.0,0.1,0.2,1.44,2.97,11.0,-0.3,-0.3,0.7,-0.5
2015-06-08,4.41,-10.0,-0.3,-1.2,0.48,2.7,-14.0,-0.0,-0.9,0.2,-1.0
2015-06-09,-4.63,-32.0,-0.9,-0.7,-0.54,0.69,1.0,-0.2,-0.2,0.2,-0.5
2015-06-10,-5.18,-1.0,-0.2,0.5,0.81,-1.58,10.0,-0.1,1.1,1.5,-0.2
2015-06-11,4.26,35.0,1.1,1.0,-5.92,-5.96,-15.0,0.4,-2.0,0.4,-2.1
2015-06-12,-1.84,-44.0,-2.0,-2.3,7.67,13.82,-3.0,-0.1,0.2,0.4,-0.4
2015-06-15,0.27,6.0,0.2,1.3,0.4,4.6,3.0,-0.1,0.4,1.1,-0.4
2015-06-16,-2.04,-3.0,0.4,-0.5,-4.57,5.95,-1.0,-0.3,0.5,0.7,-0.8
2015-06-17,-2.56,23.0,0.5,0.9,-2.18,2.46,6.0,0.6,0.4,1.0,-0.1
2015-06-18,-4.26,6.0,0.4,-0.3,0.61,-2.85,-15.0,0.2,1.0,1.2,0.1
2015-06-19,-5.81,22.0,1.0,0.9,1.46,-9.03,-6.0,0.3,1.0,1.1,0.3
2015-06-22,2.67,23.0,1.0,1.1,-5.41,-3.98,36.0,0.3,1.4,1.7,0.2
2015-06-23,-2.87,36.0,1.4,2.5,-13.86,-4.76,-15.0,0.1,0.3,0.5,-0.3
2015-06-24,5.8,13.0,0.3,0.4,-8.69,-12.26,-5.0,0.1,-0.3,0.5,-0.7
2015-06-25,0.09,-29.0,-0.3,-0.2,-4.16,-16.99,-8.0,0.1,0.8,1.1,0.0
2015-06-26,-1.07,22.0,0.8,0.9,53.67,83.24,40.0,-0.7,-0.5,-0.1,-1.0
2015-06-29,9.76,-10.0,-0.5,-0.9,-0.34,-9.42,-26.0,-1.4,-0.7,-0.6,-2.3
2015-06-30,-2.14,-33.0,-0.7,-0.7,9.96,1.81,0.0,-0.0,0.7,0.8,-0.3
2015-07-01,-6.39,16.0,0.7,0.4,7.43,1.64,10.0,-0.1,0.9,1.2,-0.2
2015-07-02,-1.81,28.0,0.9,1.4,4.26,8.41,-8.0,0.2,-0.2,0.3,-0.3
2015-07-03,4.8,-5.0,-0.2,0.1,-0.3,2.95,-11.0,0.0,0.6,0.7,-0.4
2015-07-06,-1.76,17.0,0.6,0.8,2.27,8.69,12.0,-0.8,0.6,0.7,-1.2
2015-07-07,1.81,21.0,0.6,0.7,2.23,0.56,14.0,-0.0,-0.2,0.3,-0.7
2015-07-08,9.09,-11.0,-0.2,-0.3,4.79,-2.96,-11.0,-0.8,-1.6,-0.6,-2.0
2015-07-09,-1.98,-38.0,-1.6,-1.5,-2.19,-6.32,11.0,0.1,-0.4,0.5,-0.5
2015-07-10,-2.11,-14.0,-0.4,0.3,-1.76,-3.91,3.0,0.4,0.5,0.7,-0.2
2015-07-13,-4.67,15.0,0.5,1.3,2.46,3.84,9.0,0.2,1.1,1.3,-0.3
2015-07-14,-1.61,43.0,1.1,0.9,7.35,3.72,-4.0,0.1,-0.2,0.3,-0.5
2015-07-15,-2.76,-6.0,-0.2,-0.7,1.08,-0.1,-12.0,-0.0,0.9,1.0,-0.0
2015-07-16,-5.04,24.0,0.9,0.2,3.13,-0.81,7.0,0.2,1.0,1.1,-0.0
2015-07-17,0.14,28.0,1.0,1.9,3.88,9.01,1.0,0.2,-0.0,0.3,-0.2
2015-07-20,1.06,7.0,-0.0,-0.4,-0.43,-0.08,-4.0,0.0,0.0,0.3,-0.6
2015-07-21,0.92,1.0,0.0,-0.3,1.05,-6.78,11.0,-0.1,-1.0,0.3,-1.1
2015-07-22,0.22,-28.0,-1.0,-1.7,-3.3,0.9,-11.0,-0.5,1.2,1.4,-0.6
2015-07-23,2.58,33.0,1.2,1.6,3.5,3.02,-1.0,0.0,-0.5,0.2,-0.8
2015-07-24,-0.4,-18.0,-0.5,-0.8,-3.51,0.08,-1.0,-0.1,-0.8,-0.1,-0.9
2015-07-27,5.9,-10.0,-0.8,-1.2,-3.44,1.07,-1.0,-0.3,-1.9,-0.3,-2.0
2015-07-28,-2.78,-33.0,-1.9,-2.3,-10.05,-9.16,-1.0,0.0,-0.3,0.5,-0.5
2015-07-29,-0.24,-1.0,-0.3,0.3,-17.23,-10.82,3.0,0.4,0.3,0.4,-0.2
2015-07-30,-3.48,12.0,0.3,0.1,-22.72,-22.41,-14.0,0.9,1.0,1.5,0.6
2015-07-31,-4.93,24.0,1.0,1.1,31.6,57.32,44.0,0.3,1.3,1.4,0.2
2015-08-03,5.63,18.0,1.3,1.6,3.94,5.09,-4.0,-0.1,-0.1,0.2,-0.2
2015-08-04,-3.64,-3.0,-0.1,0.7,-2.35,-1.82,-21.0,0.1,-0.2,0.2,-1.3
2015-08-05,-1.11,1.0,-0.2,0.5,-4.73,2.35,14.0,0.1,0.5,0.8,0.0
2015-08-06,0.44,19.0,0.5,-0.2,3.71,-0.84,-7.0,0.0,0.3,0.6,-0.3
2015-08-07,1.22,0.0,0.3,0.4,1.37,3.52,2.0,-0.2,-0.2,0.0,-0.5
2015-08-10,3.72,-8.0,-0.2,-0.6,-0.32,-6.4,3.0,-0.1,-0.6,0.6,-1.1
2015-08-11,2.76,-22.0,-0.6,-0.1,-1.47,5.81,-12.0,0.0,-0.6,0.2,-1.0
2015-08-12,9.77,-22.0,-0.6,-1.4,-0.22,9.25,12.0,-0.5,-1.5,-0.4,-1.6
2015-08-13,-2.45,-30.0,-1.5,-3.0,-3.16,7.23,-15.0,0.5,0.2,1.0,-0.1
2015-08-14,-5.86,13.0,0.2,0.6,-2.05,-7.02,11.0,0.8,1.9,2.1,0.3
2015-08-17,2.76,36.0,1.9,3.0,-4.05,-4.45,-2.0,-0.2,-0.6,-0.0,-1.5
2015-08-18,-0.62,-26.0,-0.6,0.3,-3.72,-2.27,-15.0,0.2,-0.1,0.5,-0.6
2015-08-19,1.96,-3.0,-0.1,-0.2,-1.67,-4.81,5.0,-0.3,0.3,0.6,-0.6
2015-08-20,1.77,0.0,0.3,-0.4,1.13,-2.4,-6.0,-0.4,-1.5,0.0,-1.7
2015-08-21,0.82,-37.0,-1.5,-2.2,1.69,13.8,-3.0,-1.2,-0.9,-0.7,-1.9
2015-08-24,64.36,-24.0,-0.9,-1.3,0.54,2.54,-1.0,-3.6,-6.0,-2.8,-6.4
2015-08-25,-4.56,-48.0,-6.0,-7.3,9.88,-9.87,-11.0,1.1,1.2,1.5,-1.8
2015-08-26,-4.96,22.0,1.2,2.6,-17.04,-13.22,23.0,-0.5,-1.2,0.5,-1.4
2015-08-27,-13.61,-9.0,-1.2,-1.5,-14.44,-13.9,-9.0,1.6,2.4,2.5,1.2
2015-08-28,5.84,42.0,2.4,2.4,25.97,64.92,42.0,1.4,0.4,1.7,-0.1
2015-08-31,5.42,10.0,0.4,-0.4,4.47,2.71,-27.0,-0.4,-0.3,0.6,-0.8
2015-09-01,16.76,-15.0,-0.3,-0.4,0.57,-1.19,10.0,-0.9,-2.5,-0.7,-3.1
2015-09-02,-7.2,-42.0,-2.5,-3.7,0.05,14.21,-19.0,0.8,-0.7,1.0,-1.0
2015-09-03,-9.51,-20.0,-0.7,-1.7,2.98,19.7,16.0,0.7,1.3,1.6,0.2
2015-09-04,9.57,39.0,1.3,1.7,-0.41,-10.07,-8.0,-0.5,-2.3,-0.5,-2.7
2015-09-07,-0.27,-36.0,-2.3,-2.5,2.23,1.17,-13.0,0.2,-1.2,0.8,-1.4
2015-09-08,-6.76,-31.0,-1.2,-2.0,1.63,7.16,9.0,0.2,1.9,2.4,-0.2
2015-09-09,-1.09,28.0,1.9,3.7,0.73,-7.65,20.0,1.5,1.4,1.9,0.8
2015-09-10,1.83,36.0,1.4,1.4,-6.28,1.1,-31.0,-1.2,-0.2,0.1,-1.7
2015-09-11,0.93,-15.0,-0.2,-0.0,2.13,5.09,16.0,0.4,-0.2,0.9,-0.6
2015-09-14,-2.62,-5.0,-0.2,-0.0,-0.24,-4.22,-26.0,0.1,1.1,1.3,-0.3
2015-09-15,-2.37,44.0,1.1,1.8,-1.53,5.56,4.0,-0.1,-0.6,0.2,-0.9
2015-09-16,-7.35,-23.0,-0.6,-1.0,-0.37,-2.24,-5.0,0.9,0.9,1.2,0.3
2015-09-18,-16.84,27.0,0.9,1.2,-3.09,-6.16,-3.0,0.9,1.1,2.1,0.7
2015-09-21,-0.63,13.0,1.1,2.6,1.38,1.17,5.0,-0.9,-0.0,0.1,-1.0
2015-09-22,11.92,-11.0,-0.0,0.7,-12.52,-0.4,3.0,0.4,-2.3,0.4,-2.6
2015-09-23,1.68,-43.0,-2.3,-3.1,-7.06,-16.14,-23.0,-1.0,0.7,1.2,-1.1
2015-09-24,0.94,16.0,0.7,1.6,-13.61,-14.38,31.0,0.3,0.5,1.0,-0.3
2015-09-28,3.76,10.0,0.5,0.1,26.56,36.01,23.0,-0.1,-0.9,0.4,-1.0
2015-09-29,-0.45,-22.0,-0.9,-0.6,1.26,-0.21,3.0,-1.3,0.6,1.8,-1.5
2015-09-30,-9.02,5.0,0.6,1.2,1.21,16.23,4.0,0.7,1.3,1.4,0.2
2015-10-01,-1.99,26.0,1.3,-0.4,-0.91,2.25,-2.0,0.7,-0.0,0.7,-0.4
2015-10-05,-0.56,7.0,-0.0,-0.5,2.36,-1.64,-7.0,0.7,2.0,2.1,0.7
2015-10-06,0.93,36.0,2.0,2.8,6.52,-3.86,-16.0,0.7,0.3,0.7,-0.3
2015-10-07,0.17,4.0,0.3,-0.3,-0.09,-5.39,-8.0,0.0,0.4,0.5,-0.2
2015-10-08,1.16,9.0,0.4,0.1,4.38,1.55,12.0,0.1,-0.5,0.1,-0.8
2015-10-09,-3.26,-18.0,-0.5,-0.8,-0.02,-4.72,13.0,0.6,0.6,1.1,-0.1
2015-10-12,1.04,2.0,0.6,0.5,0.22,-3.75,-15.0,0.3,-0.7,0.5,-0.8
2015-10-13,-5.79,-8.0,-0.7,-0.1,2.8,3.03,-12.0,-0.0,-0.1,0.2,-0.7
2015-10-14,-1.64,0.0,-0.1,-0.1,-3.47,-1.13,2.0,-0.4,-0.2,0.1,-0.4
2015-10-15,-3.1,0.0,-0.2,-0.1,-6.19,0.4,8.0,0.5,0.8,1.1,0.2
2015-10-16,-5.21,24.0,0.8,0.8,1.71,5.61,-8.0,0.1,0.9,1.0,-0.4
2015-10-19,3.7,28.0,0.9,1.4,1.01,2.65,17.0,0.0,0.1,0.3,-0.2
2015-10-20,0.7,-10.0,0.1,-0.6,-1.92,1.85,-31.0,0.0,-0.2,0.2,-0.5
2015-10-21,-2.19,-17.0,-0.2,-0.3,-1.73,-1.25,-4.0,0.0,0.1,0.5,-0.5
2015-10-23,-2.59,9.0,0.1,-0.6,-2.78,-5.72,22.0,0.7,0.5,0.9,0.3
2015-10-26,6.41,9.0,0.5,1.2,-2.72,-8.74,-3.0,1.2,-0.5,5.1,-0.6
2015-10-27,-4.03,-10.0,-0.5,-0.7,-8.87,-7.64,-6.0,-0.3,-0.2,-0.1,-0.5
2015-10-28,3.05,0.0,-0.2,0.1,-10.38,-14.2,10.0,-0.5,-0.9,-0.2,-1.3
2015-10-29,3.18,-6.0,-0.9,-2.4,-29.31,-19.72,-11.0,0.3,-0.4,0.4,-0.6
2015-10-30,1.69,-10.0,-0.4,-0.6,30.88,52.06,35.0,-0.0,-0.6,0.5,-0.9
2015-11-02,8.93,-10.0,-0.6,0.6,5.32,-6.39,-2.0,-0.3,-0.2,-0.1,-0.9
2015-11-03,0.4,7.0,-0.2,-0.1,0.97,1.09,-5.0,0.4,0.1,0.7,-0.3
2015-11-04,-1.02,5.0,0.1,-0.1,0.31,3.26,2.0,0.6,-0.2,0.7,-0.4
2015-11-05,-0.32,-13.0,-0.2,-0.5,-1.6,3.74,4.0,-0.2,-1.0,-0.2,-1.2
2015-11-06,0.93,-25.0,-1.0,-1.3,1.91,6.69,6.0,-0.1,-0.2,0.5,-0.5
2015-11-09,-12.49,-5.0,-0.2,0.6,-2.1,1.3,-14.0,-2.0,-0.5,-0.3,-2.3
2015-11-10,-1.26,-9.0,-0.5,-0.6,-3.96,0.78,-3.0,-0.5,-1.7,-0.4,-1.8
2015-11-11,0.48,-37.0,-1.7,-1.2,-1.09,2.11,-1.0,0.7,0.3,0.7,0.1
2015-11-13,4.42,27.0,0.3,0.5,-0.59,-1.42,-25.0,-0.8,-0.6,-0.4,-1.1
2015-11-16,1.27,-18.0,-0.6,0.0,-0.46,-0.45,16.0,-0.5,0.7,1.1,-0.6
2015-11-17,-5.06,11.0,0.7,1.5,-2.27,1.58,10.0,0.4,0.3,0.7,-0.3
2015-11-18,2.61,8.0,0.3,-0.2,-0.91,-0.15,-7.0,-0.2,-1.5,0.0,-1.6
2015-11-19,-9.04,-27.0,-1.5,-2.1,3.84,5.11,-19.0,0.8,1.6,1.8,0.5
2015-11-20,0.36,41.0,1.6,1.7,-5.49,-11.89,20.0,-0.1,-0.1,0.8,-0.5
2015-11-23,7.41,12.0,-0.1,-0.2,-5.35,-4.15,-26.0,0.3,-0.0,0.4,-0.4
2015-11-24,-4.86,6.0,-0.0,0.0,-12.76,-17.37,9.0,-0.3,-0.2,0.3,-0.6
2015-11-26,2.72,-16.0,-0.2,-0.3,-14.31,-22.39,-2.0,0.4,1.2,1.4,0.4
2015-11-27,0.25,27.0,1.2,0.8,33.49,57.09,56.0,0.0,0.5,0.7,-0.2
2015-11-30,-1.79,12.0,0.5,1.6,-0.27,10.28,-20.0,-0.2,0.1,0.3,-0.2
2015-12-01,-4.84,-2.0,0.1,0.4,2.54,-2.69,20.0,0.1,0.1,0.3,-0.2
2015-12-02,-0.94,6.0,0.1,-0.1,1.58,4.53,-16.0,0.2,-0.3,0.2,-0.7
2015-12-03,3.66,-9.0,-0.3,-1.1,-0.84,-4.84,-1.0,-0.4,-0.9,-0.2,-1.1
2015-12-04,0.19,-34.0,-0.9,-0.6,0.16,4.39,-6.0,-0.7,-0.9,-0.4,-1.0
2015-12-07,-1.37,-37.0,-0.9,-1.1,0.94,8.42,16.0,0.5,-0.1,0.5,-0.4
2015-12-08,0.68,7.0,-0.1,0.3,-1.03,-1.33,6.0,-0.5,-1.0,-0.1,-1.2
2015-12-09,4.71,-36.0,-1.0,-1.0,-0.46,0.5,-21.0,-0.3,-1.1,-0.0,-1.3
2015-12-10,-2.59,-38.0,-1.1,-0.8,1.52,9.69,7.0,0.3,0.9,1.0,-0.1
2015-12-11,5.46,32.0,0.9,0.3,-3.54,7.58,-6.0,0.0,-1.1,0.1,-1.6
2015-12-14,3.58,-31.0,-1.1,-2.3,3.07,4.5,-13.0,-0.6,0.5,0.9,-0.6
2015-12-15,-2.56,19.0,0.5,-0.0,1.99,-2.04,0.0,-0.1,0.5,0.6,-0.4
2015-12-16,-3.55,19.0,0.5,0.1,2.19,-0.92,-12.0,0.4,0.6,1.0,0.3
2015-12-17,-15.02,24.0,0.6,1.1,-3.76,-7.17,-2.0,0.6,1.3,1.4,-0.2
2015-12-18,1.95,39.0,1.3,1.2,-2.31,-4.72,6.0,-0.4,-0.8,-0.1,-1.0
2015-12-21,-1.85,-31.0,-0.8,-0.8,-2.24,-2.85,21.0,-0.2,0.7,0.8,-0.3
2015-12-22,1.81,25.0,0.7,1.1,-0.48,-5.46,-27.0,-0.1,-0.7,0.2,-0.9
2015-12-23,-5.73,-24.0,-0.7,-0.6,-0.59,-5.98,-10.0,0.5,1.0,1.2,0.5
2015-12-24,0.68,34.0,1.0,0.8,-7.13,-3.81,-1.0,0.3,0.1,0.3,-0.5
2015-12-28,4.78,11.0,0.1,-0.1,-4.18,-4.06,16.0,-0.1,0.5,0.6,-0.1
2015-12-29,-1.16,8.0,0.5,0.6,-7.94,-4.67,-35.0,0.2,0.3,0.4,-0.1
