Date,vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,opengap1,closegap1,highgap1,lowgap1
2014-03-20,0.16,8.0,0.0,0.6,1.49,0.94,-7.0,-0.3,-0.7,-0.0,-0.9
2014-03-21,-4.29,-20.0,-0.7,-1.5,-3.33,-7.01,-10.0,0.4,0.1,0.5,0.1
2014-03-22,-1.92,5.0,0.1,0.5,4.46,-4.23,-3.0,-0.1,0.0,0.1,-0.2
2014-03-24,4.17,7.0,0.0,-0.2,-0.52,0.51,0.0,0.4,1.3,1.5,0.3
2014-03-25,2.31,22.0,1.3,2.9,2.48,-1.48,-4.0,-0.0,0.1,0.2,-0.3
2014-03-26,4.99,2.0,0.1,0.3,-8.88,-14.97,2.0,0.5,0.1,0.5,-0.3
2014-03-27,3.42,1.0,0.1,0.5,-17.6,-10.76,-8.0,0.9,1.1,1.6,0.7
2014-03-28,1.4,26.0,1.1,1.4,37.6,37.35,45.0,0.4,0.7,0.8,0.0
2014-03-31,16.06,19.0,0.7,0.8,5.15,1.35,-13.0,0.5,0.2,0.6,-0.3
2014-04-01,-4.34,16.0,0.2,-0.1,0.61,0.37,4.0,0.4,0.2,0.4,-0.5
2014-04-02,2.55,-1.0,0.2,-1.3,0.07,-5.24,-1.0,0.3,0.5,0.6,-0.0
2014-04-03,4.22,19.0,0.5,1.2,1.45,13.98,4.0,0.1,-0.3,0.1,-0.8
2014-04-04,2.62,-4.0,-0.3,-1.1,-0.74,-7.86,-8.0,-0.0,-0.4,0.1,-0.5
2014-04-07,9.98,-11.0,-0.4,-0.0,-4.66,-10.51,26.0,0.1,-0.1,0.4,-0.7
2014-04-09,7.85,-1.0,-0.1,-0.4,2.22,1.95,-12.0,0.5,1.5,1.6,0.2
2014-04-10,6.71,30.0,1.5,3.3,4.32,9.65,-4.0,0.0,-0.2,0.4,-0.4
2014-04-11,1.63,-2.0,-0.2,-0.2,-5.33,-2.43,-16.0,-0.7,-0.3,-0.0,-0.7
2014-04-15,9.22,-10.0,-0.3,-0.8,-2.34,-3.56,-2.0,1.4,-0.7,1.4,-1.0
2014-04-16,-2.24,-21.0,-0.7,-2.3,-4.75,-4.76,-9.0,-0.1,-0.8,0.4,-1.0
2014-04-17,-0.99,-18.0,-0.8,-0.1,2.41,-0.99,2.0,0.3,1.5,1.6,0.1
2014-04-21,11.45,38.0,1.5,1.8,-2.83,2.19,-3.0,0.1,0.6,0.7,0.0
2014-04-22,-3.0,19.0,0.6,1.3,-6.92,-4.86,0.0,-0.2,-0.1,0.2,-0.3
2014-04-23,-6.66,-12.0,-0.1,0.0,-13.07,-17.69,-9.0,0.0,0.1,0.4,-0.1
2014-04-25,-1.45,-4.0,0.1,0.8,-15.25,-49.62,-26.0,0.9,-0.2,0.9,-0.5
2014-04-28,2.3,4.0,-0.2,0.2,-4.84,0.99,69.0,-0.3,-0.1,0.3,-0.5
2014-04-29,-1.07,-8.0,-0.1,0.5,2.71,10.84,23.0,0.0,-0.9,0.0,-1.1
2014-04-30,-1.47,-30.0,-0.9,-1.4,-6.29,3.96,-20.0,0.3,-0.5,1.0,-1.0
2014-05-02,8.05,-15.0,-0.5,-0.6,0.41,-0.36,-22.0,0.4,0.0,0.8,-0.1
2014-05-05,3.43,7.0,0.0,-0.0,-0.76,2.09,3.0,-0.1,0.1,0.8,-0.2
2014-05-06,-2.69,4.0,0.1,0.3,2.25,4.2,6.0,0.3,0.2,0.6,-0.1
2014-05-07,1.04,-1.0,0.2,0.6,-1.87,4.86,-7.0,-0.0,-1.0,0.0,-1.1
2014-05-08,2.05,-23.0,-1.0,-0.3,7.31,2.35,-3.0,0.6,-0.0,0.6,-0.3
2014-05-09,9.93,8.0,-0.0,0.8,-1.55,5.22,-12.0,-0.0,3.1,3.2,-0.2
2014-05-12,-1.59,40.0,3.1,5.5,6.65,16.9,10.0,0.4,2.3,2.4,0.4
2014-05-13,-13.63,29.0,2.3,2.5,2.98,-7.39,-1.0,1.1,1.3,2.3,0.5
2014-05-14,1.16,28.0,1.3,0.5,6.91,-1.57,-4.0,0.2,0.1,0.5,-0.4
2014-05-15,13.4,10.0,0.1,0.3,6.33,8.09,8.0,-0.0,0.0,0.6,-0.4
2014-05-16,-33.92,-2.0,0.0,-0.0,5.37,3.9,-17.0,2.9,1.4,6.7,0.2
2014-05-19,-15.08,16.0,1.4,4.5,20.19,18.83,29.0,0.8,0.5,1.1,-0.4
2014-05-20,-6.77,8.0,0.5,2.3,1.64,6.23,-34.0,0.3,0.3,0.9,-0.2
2014-05-21,-6.88,6.0,0.3,-0.6,-1.3,6.33,11.0,-0.5,-0.3,0.2,-0.9
2014-05-22,-0.42,-12.0,-0.3,-1.1,2.33,-1.49,3.0,0.4,0.2,0.8,-0.0
